Concatenate,thermo_label,thermo_confidence,color_label,color_confidence,model_time,remarks,count,result,wrong_color,wrong_sun.shade,non_detected,correct,wrong_both,FP,FN,HARD_TO_DETECT,HARD_TO_DETERMINE_SHADE,HARD_TO_DETERMINE_COLOR,true_negative
H1E IMAG0168,Sun,99.79943037,White,91.52527452,11:18:36,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0169,Sun,99.94200468,White,53.78693342,11:19:16,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0169 (2),negative,62.94667125,White,94.70103383,15:36:18,,1,TN,0,0,0,0,0,0,0,0,0,0,1
H1E IMAG0170,Sun,99.9625206,White,89.64374661,11:19:16,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0170 (2),negative,78.9192915,White,96.26479745,15:36:20,,1,TN,0,0,0,0,0,0,0,0,0,0,1
H1E IMAG0171,Sun,99.99039173,Blue,95.63683271,11:19:16,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0171 (2),Sun,77.59161592,White,94.83140707,15:36:20,,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0172,Sun,99.25128222,White,95.74258327,11:19:54,HARD_TO_DETERMINE_COLOR,1,XC,1,0,0,0,0,0,0,0,0,1,0
H1E IMAG0173,Sun,99.88521338,White,73.83853197,11:19:54,HARD_TO_DETERMINE_COLOR,1,XC,1,0,0,0,0,0,0,0,0,1,0
H1E IMAG0174,Sun,99.56644177,Red,99.35420752,11:19:56,HARD_TO_DETERMINE_COLOR,1,XC,1,0,0,0,0,0,0,0,0,1,0
H1E IMAG0175,Shade,85.03220081,negative,70.61117291,11:20:40,HARD_TO_DETERMINE_COLOR,1,V,0,0,0,1,0,0,0,0,0,1,0
